original,renamed,unity_source,description,category
_3,unusedVec4,N/A,Unused global vector,Global Variable
_1017,VolumeBoxData,VolumeBoxData,Volume box intersection data (tMin tMax index),Structure
_1017._m0,boxData,{tMin tMax index},Volume box data vec4,Structure Member
_2620,Matrix4x4,float4x4,4x4 matrix as array of 4 vec4,Structure
_2620._m0,matrixRows,matrix rows,Matrix rows array,Structure Member
_113,VolumeArray16,float4[16],Array of 16 vec4 for volume data,Structure
_113._m0,volumeData,data array,Volume data array,Structure Member
_239,PointArray5,float4[5],Array of 5 vec4 for points,Structure
_239._m0,pointData,data array,Point data array,Structure Member
_365,MaskArray2,float4[2],Array of 2 vec4 for masks,Structure
_365._m0,maskData,data array,Mask data array,Structure Member
_633_4459,CameraDataBlock,CameraParams,Camera parameters uniform buffer,Uniform Buffer
_4459,cameraData,CameraParams instance,Camera data UBO instance,UBO Instance
_4459._m0,invViewProjMatrix,_InvVP,Inverse view-projection matrix,UBO Member
_4459._m1,projectionParams,proj params,Projection parameters (z=near scale w=offset),UBO Member
_4459._m2,cameraPosition,_CameraPosition,Camera position in world space,UBO Member
_4459._m3,depthNear,_CameraNearPlane,Near plane for depth reconstruction,UBO Member
_4459._m4,cameraForward,_CameraForward,Camera forward direction vector,UBO Member
_4459._m5,depthFar,_CameraFarPlane,Far plane for depth reconstruction,UBO Member
_4459._m6,cameraRight,_CameraRight,Camera right vector,UBO Member
_4459._m7,globalTime,_Time.y,Global animation time,UBO Member
_754_4023,VolumeDataBlock,_SceneVolumeUniforms,Volume and scene data uniform buffer,Uniform Buffer
_4023,volumeData,_SceneVolumeUniforms instance,Volume data UBO instance,UBO Instance
_4023._m0,volumeMinBounds,volumeMinBounds,Minimum bounds of each volume (16 volumes),UBO Member
_4023._m1,volumeMaxBounds,volumeMaxBounds,Maximum bounds of each volume,UBO Member
_4023._m2,volumeCenters,volumeCenters,Center positions of volumes,UBO Member
_4023._m3,volumeAnimState,volumeAnimState,Volume animation state (y=interp z=pageIdx),UBO Member
_4023._m4,volumeTintColor,volumeTintColor,Volume tint colors,UBO Member
_4023._m5,volumeFadeParams,volumeFadeParams,Volume fade parameters (x=density w=height),UBO Member
_4023._m6,sceneAABBMin,sceneAABBMin,Scene axis-aligned bounding box minimum,UBO Member
_4023._m7,sceneAABBMax,sceneAABBMax,Scene axis-aligned bounding box maximum,UBO Member
_4023._m8,bulletTracerStarts,bulletTracerStarts,Bullet tracer line start positions,UBO Member
_4023._m9,bulletTracerEnds,bulletTracerEnds,Bullet tracer line end positions,UBO Member
_4023._m10,tracerInfluenceParams,tracerInfluenceParams,Tracer influence parameters,UBO Member
_4023._m11,explosionPositions,explosionPositions,Explosion center positions (w=timestamp),UBO Member
_4023._m12,volumeTracerMasks,volumeTracerMasks,Tracer channel assignment masks,UBO Member
_4023._m13,activeTracerCount,activeTracerCount,Number of active bullet tracers,UBO Member
_4023._m14,animationTime,animationTime,Animation time for effects,UBO Member
_4023._m15,explosionCount,enableExplosions,Number of active explosions,UBO Member
_2920_5618,RenderParamsBlock,UnityPerMaterial,Render parameters uniform buffer,Uniform Buffer
_5618,renderParams,UnityPerMaterial instance,Render params UBO instance,UBO Instance
_5618._m0,jitterScale,_TemporalJitterAmount,Temporal jitter scale,UBO Member
_5618._m1,alphaScale,_RayMarchStepScale,Alpha/step scale multiplier,UBO Member
_5618._m2,timeScale,_AnimationSpeed,Time scale for animations,UBO Member
_5618._m3,noise1Influence,_AbsorptionCoeff,Primary noise influence weight,UBO Member
_5618._m4,detailNoiseInfluence,_ScatteringCoeff,Detail noise influence,UBO Member
_5618._m5,normalPerturbScale,_PhaseFunction,Normal perturbation scale,UBO Member
_5618._m6,phaseBlend,_PhaseFunction,Phase function blend parameter,UBO Member
_5618._m7,noiseOffset,_AmbientLight,Global noise offset / ambient,UBO Member
_5618._m8,noise1Scale,_BaseNoiseScale,Primary noise scale,UBO Member
_5618._m9,noise2Scale,_DetailNoiseScale,Detail/secondary noise scale,UBO Member
_5618._m10,noisePower,_NoiseWeight,Noise power/gamma exponent,UBO Member
_5618._m11,noiseColorA,_CloudDensity,First noise color parameter,UBO Member
_5618._m12,noiseColorB,_CloudCoverage,Second noise color parameter,UBO Member
_5618._m13,baseColorIntensity,_CloudDensity,Base color intensity,UBO Member
_5618._m14,sunColorIntensity,_CloudCoverage,Sun/light color intensity,UBO Member
_5618._m15,rimLightIntensity,_DirectLightIntensity,Rim lighting intensity,UBO Member
_5618._m16,densityContrast,_CloudTopHeight,Density contrast adjustment,UBO Member
_5618._m17,baseStepSize,_BaseStepSize,Ray marching step size,UBO Member
_5618._m18,normalDetailScale,_DetailStrength,Normal detail/warp scale,UBO Member
_5618._m19,enableSecondPass,second pass flag,Enable second pass flag (0 or 1),UBO Member
_5618._m20,colorTint,_WindOffset,Color tint or wind offset vector,UBO Member
_5618._m21,godrayIntensity,_FogAmount,God ray / fog intensity,UBO Member
